© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Function and Maintenance	internalization	Internalization of bacteria	3,09E-02	5,98E-01	 	-1,813	CSK,FCMR,ILK,MYO1G,NCKAP1L,RAC1,SYK,TNF,WASF2	9
Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	megakaryopoiesis	Megakaryopoiesis	3,09E-02	5,98E-01	 	-0,378	ACTR2,CIB1,EIF6,HMGA1,MEF2C,RAC1,TESC,WASF2,ZEB2	9
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	transmigration	Transmigration of neutrophils	3,09E-02	5,98E-01	Decreased	-2,197	CD47,CD99,CNN2,ITGB2,LSP1,PREX1,PTPN6,RASGRP2,TNF	9
Cell-To-Cell Signaling and Interaction	signaling	Signaling of cells	3,09E-02	5,98E-01	 	-0,720	CD19,GOLPH3,ITGB2,PTPN6,PTPRC,SIGLEC10,SUMO1,TNF,VASP	9
Cardiovascular System Development and Function	neovascularization	Neovascularization	3,09E-02	5,98E-01	 	-1,342	ANXA2,CD47,CD82,CXCR3,CXCR4,ITGB2,RAC1,S100A10,TNF	9
Cell Morphology,Cellular Assembly and Organization	morphology	Morphology of actin cytoskeleton	3,09E-02	5,98E-01	 	 	FLNA,MTSS1,PDLIM1,PIKFYVE,RAC1,RAC2,RHOA,RHOG,WIPF1	9
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of heart	3,09E-02	5,98E-01	 	 	ARID3A,ATP2A3,CAPNS1,CIB1,CXCR4,DUSP1,FKBP1A,FLNA,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,LITAF,LY6E,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,RAC1,RHOA,S100A10,SPTAN1,TLN1,TNF,TNFRSF1B,TPI1,TXNIP,VDAC1,WASF2,YWHAE	43
Immunological Disease,Organismal Injury and Abnormalities	allergy	Allergy	3,11E-02	5,98E-01	 	-1,081	ACTB,CAPZB,CFL1,CHD4,CORO1A,CXCR4,DUSP1,EEF1A1,FABP5,FDFT1,FGR,FKBP1A,FLNA,GAPDH,GSN,H3-3A/H3-3B,HCK,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,IFI30,ITGB7,JAK1,JPT1,MALT1,PPIA,PRDX1,PREX1,PSAP,S100A11,SPI1,SYK,TKT,TNF,TPI1,TPM3,VCP,ZYX	39
Infectious Diseases,Organismal Injury and Abnormalities	COVID-19	COVID-19	3,13E-02	5,98E-01	 	 	ACTB,AP1S2,BLOC1S1,CFL1,DECR1,DUSP1,EEF1A1,FLNA,GAPDH,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,JAK1,PFN1,PKM,PLAC8,PLEK,PPIA,PSMB8,SAT1,SYK,TAGLN2,TNF,TNFRSF1B,TPT1,TSPO,TXNIP,YWHAE	30
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	colitis	Colitis	3,13E-02	5,98E-01	 	1,180	ARHGDIB,CD19,CD47,CD53,CD79A,DHRS9,FKBP1A,GNAI2,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,ITGB7,JAK1,LAPTM5,MAZ,MS4A1,PARK7,PARP1,PKM,PSMB8,PTPN22,PTPRC,PYCARD,RAC1,RHOA,TNF,TSPO,UNC93B1,WIPF1	30
Nervous System Development and Function,Tissue Morphology	quantity	Quantity of neurons	3,13E-02	5,98E-01	 	-0,766	CLTA,CXCR4,DUSP1,GNAI2,GRN,PSAP,PTPN6,RAC1,RHOA,SLC44A2,SMARCE1,SPTAN1,SUB1,TNF,UCP2,VIM	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	migration	Migration of antigen presenting cells	3,13E-02	5,98E-01	Decreased	-2,227	CNN2,CXCR3,CXCR4,FLNA,HCK,HLA-DQB1,HMOX1,NCKAP1L,PARP1,PTPN6,RAC1,RAC2,RHOA,S100A10,SPI1,TNF	16
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	recruitment	Recruitment of neutrophils	3,13E-02	5,98E-01	Decreased	-2,717	CD19,CD47,CD53,FGR,GLRX,GSN,HCK,ITGB2,LSP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,TNF,ZDHHC12	16
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	adhesion	Adhesion of lymphocytes	3,13E-02	5,98E-01	 	-1,878	CD47,CD99,CXCR3,CXCR4,GNAI2,ITGB2,JAK1,MAP4K1,MYO1G,PTPN6,RAC1,RAC2,RAP1B,RASGRP1,RHOA,TNF	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cellular infiltration	Cellular infiltration by mononuclear leukocytes	3,13E-02	5,98E-01	Increased	2,057	CD19,CXCR3,DBNL,HCK,HMOX1,IGF2BP3,ILK,MALT1,PIKFYVE,PSMB8,TCIRG1,TNF,TRAPPC1,UCP2,VASP,ZDHHC12	16
Cell-To-Cell Signaling and Interaction	communication	Communication of cells	3,14E-02	5,98E-01	 	-0,158	ANXA4,CALM1 (includes others),CAP1,CD19,CIB1,CLEC2D,CLIC1,CSK,CXCR3,CXCR4,GDI2,GNAI2,GOLPH3,HCK,HHEX,HMOX1,ILK,ITGB2,JAK1,LAT2,LY6E,MAP4K1,NOP53,OGT,PEA15,PIKFYVE,PNOC,PREX1,PTPN1,PTPN6,PTPRC,RAC1,RAC2,RASGRP1,RASGRP2,S100A11,SIGLEC10,SRPK2,SUB1,SUMO1,SYK,TLE1,TNF,TNFRSF1B,TWF2,UGCG,VASP,VIM,YWHAE,ZFAND6	50
Organismal Injury and Abnormalities,Reproductive System Disease	endometriosis	Endometriosis	3,21E-02	5,98E-01	 	 	ACTB,CD68,CTSH,CXCR3,CXCR4,DUSP1,DYNLL1,GPI,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,JAK1,MEF2A,PTPN22,RAC1,RAP1B,SAT1,SERPINB1,TMSB10/TMSB4X,TNF,TNFRSF1B,VIM,YWHAH	24
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	morphology	Morphology of lymph follicle	3,21E-02	5,98E-01	 	 	ARHGDIB,CD47,CXCR4,HCK,HLA-DQB1,IKZF3,ITGB7,LCP1,PTPN22,PTPRC,SPI1,TCIRG1,TNF,TNFRSF1B,WIPF1	15
Cell Morphology	shape change	Shape change of leukocytes	3,21E-02	5,98E-01	Decreased	-2,382	CD19,CD47,CNN2,CORO1A,FGR,HCK,ITGB2,MAP4K1,RAC1,RAP1B,RHOA,SYK,TLN1,TNF,WIPF1	15
Cell Morphology,Tissue Morphology	morphology	Morphology of connective tissue cells	3,21E-02	5,98E-01	 	 	CD68,DUSP1,EIF6,MEF2C,PARP1,PPP1R18,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,SUMO1,TNF	15
Molecular Transport	transport	Transport of ion	3,21E-02	5,98E-01	 	-0,555	ATP2A3,ATP2B1,ATP5F1B,CLIC1,CORO1A,HVCN1,SLC44A2,SYK,TCIRG1,TSPO,UCP2,VDAC1,YWHAB,YWHAE,YWHAH	15
Cardiovascular Disease,Cardiovascular System Development and Function,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of cardiovascular system	3,23E-02	5,98E-01	 	 	ARID3A,ATP2A3,CAPNS1,CIB1,CXCR4,DUSP1,EHD3,FKBP1A,FLNA,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,LITAF,LY6E,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,PSAP,RAC1,RHOA,S100A10,SPTAN1,SYK,TLN1,TNF,TNFRSF1B,TPI1,TXNIP,VDAC1,WASF2,YWHAE	46
Cardiovascular System Development and Function	morphogenesis	Morphogenesis of cardiovascular system	3,24E-02	5,98E-01	Decreased	-2,000	ANXA2,FKBP1A,FLNA,GRN,ILK,ITGAX,LY6E,MEF2C,SYK,TNF	10
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Organismal Development,Tissue Development	myelopoiesis	Myelopoiesis of bone marrow	3,24E-02	5,98E-01	 	0,000	ACTR2,CIB1,EIF6,FLNA,HMGA1,MEF2C,RAC1,TESC,WASF2,ZEB2	10
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Tissue Development	myelopoiesis	Myelopoiesis of hematopoietic progenitor cells	3,24E-02	5,98E-01	 	-0,378	ACTR2,CIB1,EIF6,HMGA1,MEF2C,RAC1,SPI1,TESC,WASF2,ZEB2	10
Cancer,Organismal Injury and Abnormalities	neoplasia	Neoplasia of fibroblast cell lines	3,24E-02	5,98E-01	 	-1,741	DYNLL1,EEF1A1,FGR,GNAI2,GPI,HCK,JAK1,RAC1,RHOA,TNF	10
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	quantity	Quantity of focal adhesions	3,24E-02	5,98E-01	 	-0,563	ACTB,CAPNS1,CSK,FLNA,HSBP1,ILK,RAC1,RHOA,SPTAN1,TLN1	10
Cellular Assembly and Organization	quantity	Quantity of actin filaments	3,24E-02	5,98E-01	 	-1,129	CFL1,CSK,FLNA,GLUL,ITGB2,NME1,PIKFYVE,RAC1,RHOA,SPTAN1	10
Cellular Movement,Connective Tissue Development and Function	migration	Migration of fibroblast cell lines	3,24E-02	5,98E-01	Decreased	-2,412	CSK,FABP5,HCK,ILK,MIEN1,RAC1,RAC2,RHOA,RHOG,VCP	10
Cellular Development,Cellular Growth and Proliferation	development	Development of breast cancer cell lines	3,24E-02	5,98E-01	 	-0,938	ANXA2,CD82,CKS2,EIF4A1,EMP3,GRN,ILK,LY6E,NCOA3,PKM	10
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	activation	Activation of T lymphocytes	3,25E-02	5,98E-01	 	-0,823	CD19,CD47,CORO1A,CSK,CXCR3,DUSP1,FKBP1A,FUT8,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HSH2D,HSPA4,IGF2BP3,ITGB2,LAPTM5,LAT2,MALT1,PAK2,PARP1,PTPN22,PTPN6,PTPRC,PYCARD,RASGRP1,SIGLEC10,TCIRG1,TLN1,TNF,TNFRSF1B,TRAPPC1,UNC93B1,VSIR	34
Cancer,Organismal Injury and Abnormalities,Reproductive System Disease	neoplasia	Neoplasia of breast cancer cell lines	3,28E-02	5,98E-01	 	-1,648	CD82,CXCR4,GPI,IGF2BP3,ILK,NCOA3,NME1,PDLIM1,PTPN18,RHOA,SYK,TLN1,TNF,VIM	14
Cardiovascular Disease,Developmental Disorder,Organismal Injury and Abnormalities	congenital heart disease	Congenital heart disease	3,28E-02	5,98E-01	 	1,980	CALM1 (includes others),CHD4,CXCR4,FKBP1A,FLNA,GNG5,GSN,HHEX,MEF2C,TKT,TNF,VASP,WASF2,YWHAE	14
Cell Signaling	MAPKKK cascade	MAPKKK cascade	3,28E-02	5,98E-01	Decreased	-2,203	DUSP1,GRB2,LAPTM5,LBH,MAP4K1,MEF2A,MEF2C,PPIA,PSAP,PTPN6,PTPRC,SYK,TNF,YWHAE	14
Cell-mediated Immune Response,Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	adhesion	Adhesion of T lymphocytes	3,28E-02	5,98E-01	 	-1,881	CD47,CD99,CXCR3,CXCR4,GNAI2,ITGB2,JAK1,MAP4K1,RAC1,RAC2,RAP1B,RASGRP1,RHOA,TNF	14
Cardiovascular Disease,Connective Tissue Disorders,Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	diffuse systemic sclerosis	Diffuse systemic sclerosis	3,28E-02	5,98E-01	 	 	ACTB,ARPC3,CFL1,CIB1,CKS2,CXCR4,FGR,FIBP,HCK,ILK,ITGB2,JAK1,RAC2,TPI1	14
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	recruitment	Recruitment of leukocytes	3,31E-02	5,98E-01	Decreased	-2,647	CD19,CD47,CD53,CNN2,CXCR3,CXCR4,FABP5,FGR,FUT8,GLRX,GSN,HCK,HMOX1,ITGB2,ITGB7,LSP1,PARP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,RHOA,SYK,TNF,TNFRSF1B,TPT1,UCP2,ZDHHC12	29
Cell Death and Survival,Cell Morphology,Nervous System Development and Function,Neurological Disease,Organismal Injury and Abnormalities,Tissue Morphology	loss	Loss of neurons	3,32E-02	5,98E-01	 	 	BLOC1S2,GRN,HSPA4,OGT,PARK7,PFN1,PSAP,PTPN1,PTPRC,TNF,UCP2	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	transmigration	Transmigration of phagocytes	3,32E-02	5,98E-01	Decreased	-2,256	CD47,CD99,CNN2,ITGAX,ITGB2,LSP1,PREX1,PTPN6,RASGRP2,RHOA,TNF	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	transmigration	Transmigration of mononuclear leukocytes	3,32E-02	5,98E-01	Decreased	-2,960	CD47,CD99,CXCR3,CXCR4,FABP5,ITGAX,ITGB2,RAC1,RAC2,RHOA,TNF	11
Cancer,Organismal Injury and Abnormalities	benign head and neck neoplasm	Benign head and neck neoplasm	3,32E-02	5,98E-01	 	 	ANXA2,CXCR4,FKBP1A,GNAI2,H1-2,HMGA1,HMOX1,OGT,PARK7,RAC2,RALY	11
Cellular Movement	migration	Migration of colorectal cancer cell lines	3,32E-02	5,98E-01	 	-0,835	CD47,CD82,CSK,IGF2BP3,MTSS1,PDLIM1,PKM,RAC1,RHOA,RNF141,TNF	11
Carbohydrate Metabolism,Molecular Transport,Small Molecule Biochemistry	uptake	Uptake of D-glucose	3,32E-02	5,98E-01	 	-0,879	CAP1,HMGA1,NCOA3,PEA15,PIKFYVE,PKM,PTPN1,RAC1,SEPTIN7,TNF,TXNIP	11
Cellular Assembly and Organization	quantity	Quantity of filaments	3,32E-02	5,98E-01	 	-0,664	CFL1,CSK,FLNA,GLUL,ITGB2,NME1,PIKFYVE,RAC1,RHOA,SPTAN1,VIM	11
Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	abnormality	Abnormality of limb	3,33E-02	5,98E-01	 	-0,600	CD47,CSK,FDFT1,FDPS,IDS,ITGB2,LITAF,PPIA,PTPN6,RHOA,SYK,TCIRG1,TNF	13
Cellular Development	maturation	Maturation of lymphatic system cells	3,33E-02	5,98E-01	 	-1,906	CD19,CSK,CXCR4,HLA-DRA,LCP1,MAD1L1,POU2F2,PTPN6,PTPRC,RASGRP1,TNF,TRAPPC1,ZEB2	13
Neurological Disease,Organismal Injury and Abnormalities	neurological signs	Neurological signs	3,34E-02	5,98E-01	 	0,555	ACTB,ARL6IP5,ATP2B1,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MF,ATP5MK,ATP5PB,ATP5PF,CAPNS1,CD68,COX5A,COX5B,CXCR3,FABP5,FDFT1,GAPDH,GPI,GRN,HLA-DQA1,HLA-DQB1,HMOX1,HSBP1,IDS,LY6E,MALT1,MT2A,MYL12A,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NME1,PARP1,PDLIM1,PFN1,PKM,PLEK,PPIA,PSMB8,RAC1,RASGRP2,RHOG,S100A10,SAT1,SEPTIN6,SRM,SUB1,TCF4,TESC,TNF,TPI1,TPM3,TSC22D3,TSPO,UCP2,UGCG,UQCR11,UQCRH	62
Cellular Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development	maturation	Maturation of lymphocytes	3,34E-02	5,98E-01	 	-1,710	CD19,CSK,CXCR4,HLA-DRA,LCP1,MAD1L1,POU2F2,PTPN6,PTPRC,RASGRP1,TNF,ZEB2	12
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Organismal Development,Tissue Development	hematopoiesis	Hematopoiesis of bone marrow	3,34E-02	5,98E-01	 	0,102	ACTR2,CIB1,EIF6,FLNA,HMGA1,MEF2C,PTPN22,RAC1,TESC,TNF,WASF2,ZEB2	12
Cancer,Cellular Movement,Organismal Injury and Abnormalities,Tumor Morphology	invasion	Invasion of tumor cells	3,34E-02	5,98E-01	 	-0,673	CD53,CXCR4,FKBP1A,FLNA,HMOX1,MIEN1,PARK7,RAC1,RHOA,RHOG,SYK,VASP	12
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	hypertrophy	Hypertrophy of heart	3,37E-02	5,98E-01	 	 	CIB1,DUSP1,FKBP1A,GNAI2,GRB2,GSN,HCK,HMOX1,HOPX,MEF2A,MEF2C,MTPN,PARK7,PARP1,PFN1,PPIA,RAC1,RHOA,S100A10,SPTAN1,TLN1,TNF,TNFRSF1B	23
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	rheumatoid arthritis	Rheumatoid arthritis	3,47E-02	5,98E-01	 	 	ARHGDIB,ATP2B1,CD68,CD79A,CXCR4,DUSP1,DYNLL1,FDPS,FKBP1A,GLUL,GOLPH3,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,ITGB2,JAK1,LBH,LCP1,LY6E,MAZ,MRPS36,MS4A1,MYL12A,PARP1,POLR2L,PPIA,PPP1R7,PRDX1,PRDX5,PSMB8,PTPN1,PTPN22,PTPRC,RAB1B,RTF2,S100A10,SF3B6,SUMO1,SYK,TALDO1,TCF4,TCIRG1,TNF,TNFRSF1B,TPI1,TSPO,VIM	55
Gene Expression	transcription	Transcription of RNA	3,48E-02	5,98E-01	Decreased	-3,292	ACTR2,ACTR3,ANXA2,ANXA4,ARID3A,BTG1,CD19,CD82,CDK2AP1,CKS2,CUX1,CXCR4,DDX17,ELOB,FGR,FLNA,GRN,GTF2A2,GTF3C6,H1-2,HHEX,HMGA1,HOPX,HSBP1,IKZF3,ILK,JAK1,LBH,LITAF,MAD1L1,MALT1,MAZ,MEF2A,MEF2C,MTCH2,NCOA3,NCOA4,NEDD8,NME1,NME2,NOP53,OGT,PAK2,PARK7,PARP1,PARP15,PDLIM1,PEA15,PFDN5,PFN1,PLAC8,POLR2E,POLR2G,POLR2L,POU2F2,PTPN6,RAC1,RASGRP1,RHOA,RHOG,RNF141,S100A10,SLC44A2,SMARCC1,SMARCE1,SPI1,SRA1,SUB1,SUMO1,SUMO2,SUPT4H1,SYK,TAF10,TCF4,TERF2IP,TESC,TLE1,TLE5,TNF,TNFRSF1B,TSC22D3,TXNIP,UBE2L3,YBX1,YWHAH,ZBTB32,ZEB2	87
Metabolic Disease,Organismal Injury and Abnormalities	amyloidosis	Amyloidosis	3,50E-02	5,98E-01	 	 	ACTB,ATP5F1A,ATP5PB,CAPZB,CD47,CD68,CFL1,CHI3L2,CIB1,CXCR4,FDFT1,FDPS,GAPDH,GLRX,GRN,GSN,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,ITGAX,LY6E,MAZ,NEAT1,OGT,PARP15,PRDX1,PREX1,PSAP,PSMB2,SCP2,SRPK2,TNF,TSPO,VCP,VDAC1,VIM	37
Molecular Transport	quantity	Quantity of metal	3,54E-02	5,98E-01	 	-0,342	ANXA2,ATP2B1,CD19,CXCR3,CXCR4,FKBP1A,FTL,GNAI2,GRN,GSN,HMOX1,LAT2,PPIA,PTPN6,PTPRC,TNF,TRAPPC1,TSC22D3,TXNIP,UCP2,VDAC1,YWHAE	22
Metabolic Disease,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Alzheimer disease	Alzheimer disease	3,65E-02	5,98E-01	 	 	ACTB,ATP5F1A,ATP5PB,CAPZB,CD68,CFL1,CHI3L2,CIB1,CXCR4,FDFT1,FDPS,GAPDH,GLRX,GRN,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,LY6E,NEAT1,OGT,PARP15,PRDX1,PREX1,PSAP,SCP2,SRPK2,TNF,TSPO,VCP,VDAC1,VIM	32
Cellular Movement	cellular infiltration	Cellular infiltration	3,69E-02	5,98E-01	 	-0,801	ACTB,ANXA2,CD19,CD47,CHD4,CORO1A,CUX1,CXCR3,DBNL,DUSP1,FABP5,GAPDH,HCK,HMOX1,IGF2BP3,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN6,RAC2,S100A10,SPI1,TCIRG1,TKT,TNF,TNFRSF1B,TPI1,TRAPPC1,UCP2,VASP,YBX1,ZDHHC12	40
Cell Death and Survival,Organismal Injury and Abnormalities	apoptosis	Apoptosis of leukemia cell lines	3,70E-02	5,98E-01	 	0,631	CD47,CD82,CD99,CXCR4,DUSP1,FCMR,FGR,GSN,HCK,HMGA1,HMOX1,MAP4K1,OGT,PAK2,PARP1,PPIA,PPP1CA,PTPN6,PTPRC,PYCARD,RAC1,TNF,TNFRSF1B,TPT1,TSC22D3,UGCG,YBX1	27
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	enteritis	Enteritis	3,87E-02	5,98E-01	 	1,765	ARHGDIB,CD19,CD47,CD53,CD79A,DHRS9,FKBP1A,GNAI2,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,ITGB7,JAK1,LAPTM5,MAZ,MS4A1,PARK7,PARP1,PKM,PSMB8,PTPN22,PTPRC,PYCARD,RAC1,RHOA,TNF,TNFRSF1B,TSPO,UNC93B1,WIPF1	31
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Renal and Urological Disease	nephritis	Nephritis	3,91E-02	5,98E-01	 	1,646	CD19,CD79A,CXCR3,FGR,FKBP1A,GRN,HLA-DQB1,HMOX1,IKZF3,ITGAX,JAK1,MS4A1,PARP1,PDLIM1,PPIA,PSMB2,PTPN6,PTPRC,RHOA,S100A10,SIGLEC10,SYK,TCF4,TNF,WIPF1,YBX1	26
Molecular Transport	quantity	Quantity of metal ion	3,91E-02	5,98E-01	 	-0,250	ANXA2,ATP2B1,CD19,CXCR3,CXCR4,FKBP1A,GNAI2,GRN,GSN,LAT2,PPIA,PTPN6,PTPRC,TNF,TRAPPC1,TSC22D3,TXNIP,UCP2,VDAC1,YWHAE	20
Antimicrobial Response,Inflammatory Response	antimicrobial response	Antimicrobial response	3,91E-02	5,98E-01	Decreased	-2,200	COTL1,CXCR4,FGR,GAPDH,HCK,ITGAX,JAK1,LAMTOR5,LSM14A,MALT1,OAS1,PLAC8,PPIA,PTPN22,PTPRC,PYCARD,ROMO1,SAMHD1,SYK,TNF	20
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	quantity	Quantity of steroid	3,91E-02	5,98E-01	 	1,164	DBI,DUSP1,FABP5,FDFT1,HMGA1,HMOX1,HVCN1,JAK1,PARP1,PKM,PNOC,PSAP,PTPN1,RHOA,SCIMP,SCP2,TERF2IP,TNF,TSC22D3,TXNIP	20
Hematological System Development and Function,Hematopoiesis,Tissue Morphology	quantity	Quantity of hematopoietic progenitor cells	3,92E-02	5,98E-01	 	0,345	ADD3,ARHGDIB,ARID3A,ATP2B1,BLOC1S2,CAPNS1,CD47,CD79A,CIB1,CORO1A,CSK,CXCR4,FLNA,GNAI2,HLA-DQB1,IKZF3,ITGB2,JAK1,MS4A1,PAK2,PARK7,PCLAF,PRDX1,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP1,SPI1,SYK,TCF4,TCIRG1,TNF,TRAPPC1,TSC22D3,VASP,WIPF1,ZEB2	39
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell movement	Cell movement of lymphocytes	3,92E-02	5,98E-01	 	-1,981	ACTB,CD19,CD47,CD99,COMMD8,CORO1A,CUX1,CXCR3,CXCR4,DBNL,FABP5,GNAI2,HMOX1,IGF2BP3,ITGB2,ITGB7,JAK1,LCP1,MALT1,MAP4K1,MYO1G,PFN1,PIKFYVE,PPIA,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RHOA,SUMO1,TLN1,TNF,TNFRSF1B,TRAPPC1,UCP2,VASP,WIPF1,ZDHHC12	39
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	cell proliferation	Cell proliferation of T lymphocytes	3,95E-02	5,98E-01	 	-1,117	ARHGDIB,CD19,CD47,CD79A,CD99,CORO1A,CXCR3,CXCR4,DBI,DUSP1,EHD3,ELOB,FIBP,FKBP1A,FTL,GNAI2,GPI,HLA-DMB,HLA-DPA1,HLA-DPB1,HMOX1,HSH2D,IKZF3,ITGAX,ITGB2,LAPTM5,LAT2,LCP1,MAD1L1,MALT1,MAP4K1,MRPL51,NCKAP1L,PARK7,PARP1,PEA15,PTPN22,PTPN6,PTPRC,PTPRCAP,PYCARD,RAC2,RASGRP1,RHOA,SPI1,SYK,TCIRG1,TLN1,TNF,TNFRSF1B,TSC22D3,TXNIP,VIM,VSIR,WIPF1,ZBTB32	56
Lymphoid Tissue Structure and Development,Tissue Morphology	quantity	Quantity of lymphatic system cells	3,97E-02	5,98E-01	Decreased	-2,436	ARHGDIB,ARID3A,ATP2B1,CD19,CD47,CD79A,CIB1,CLTA,CNN2,CORO1A,CSK,CXCR3,CXCR4,FABP5,FCMR,FKBP1A,FLNA,GNAI2,HCK,HCST,HLA-DQA1,HLA-DQB1,HVCN1,IKZF3,ITGB2,ITGB7,JAK1,LSP1,MALT1,MS4A1,MYO1G,PAK2,PARK7,PARP1,PCLAF,PIKFYVE,PKM,PLD4,POU2F2,PPIA,PRDX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PTPRCAP,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RFTN1,RHOA,SIGLEC10,SPI1,SYK,TCF4,TCIRG1,TLN1,TNF,TNFRSF1B,TRAPPC1,TSPO,TXNIP,VASP,WIPF1,ZEB2	68
Infectious Diseases,Organismal Injury and Abnormalities	HIV infection	HIV infection	3,98E-02	5,98E-01	Decreased	-4,501	ACTR3,ADK,ANXA2,ATP5F1B,CARD16,CD19,CLTA,CXCR4,FDFT1,FDPS,FKBP1A,GABARAPL2,GOLPH3,H3-3A/H3-3B,HSPA4,ITGB7,JAK1,LAPTM5,MS4A1,MT2A,NDUFS6,PARP1,PNRC1,POLR2L,PSMA2,PSMA5,PSMD4,PTPRC,RAB1B,RAP1B,SAMHD1,SAMM50,SFT2D1,SPTAN1,SUB1,SUMO2,TAGLN2,TLE5,TNF,TNFRSF1B,TPT1,TRAPPC1,TSPO,UBE2L3,YBX1,ZYX	46
